"","id","shareCount","playCount","commentCount","diggCount"
"274","6883894825855274242",384,72700,140,19600
"275","6900735754700459270",11,78300,112,9504
"276","6879705053884697858",873,55100,0,3347
"277","6908113835845012742",21400,2900000,1890,395200
"278","6897005299798936834",37,36000,76,2409
"279","6895703273773321474",195,207900,94,13600
"280","6906841661821717762",44,25800,11,779
"281","6899555224801791234",39,33800,82,3434
"282","6882508731343506694",1570,142300,243,20500
"283","6907990866284088578",231,132300,125,14800
"284","6888750527845485825",48,128500,150,3123
"285","6903317821770484994",388,511200,460,48100
"286","6904645678018923777",10,23200,1206,732
"287","6886856236667636993",1,67000,67,9025
"288","6899676363188473093",2564,478400,5892,114600
"289","6903061991225691394",518,1700000,370,36400
"290","6876374255974501633",2491,5100000,2765,365600
"291","6902810912416189701",598,133900,387,7367
"292","6889412761927847169",113,44800,30,1587
"293","6904256013650758914",228,253000,179,22100
"294","6908266212787047686",11,219700,91,11900
"295","6886527144478936321",212,53000,183,3808
"296","6883063619202993409",128,16900,43,1339
"297","6899477494659960066",47,52700,172,3218
"298","6884691950478298370",385,118900,80,8133
"299","6888218363923942657",1299,4400000,864,340300
"300","6897026408372096261",45900,2800000,518,31900
"301","6884860645364354306",67,45800,56,5846
"302","6882041935029226754",2497,547700,947,64500
"303","6901798489315921158",34,72500,35,4411
"304","6900949746962238721",36,260800,1099,36300
"305","6880161721349311746",29,58600,32,4751
"306","6886231790332218629",48,90200,156,9233
"307","6894262046720986369",342,39700,81,3161
"308","6877167604100910337",238,136600,81,6940
"309","6903949620775324930",101,47200,46,4967
"310","6902115301094116610",539,94200,504,16700
"311","6902424258006273281",1583,590600,2875,86000
"312","6887617610196733186",58,69300,61,20500
"313","6896760414055435521",11500,1100000,4146,135700
"314","6901972269636078850",9,37900,42,3169
"315","6880508779109125378",23,12200,123,1116
"316","6893922616696999169",8,35200,147,2212
"317","6882071585621069058",2,10900,13,1018
"318","6889466576051932421",12,128900,94,11700
"319","6878510237784083713",3,9667,10,1915
"320","6882670049648200962",717,146100,348,34700
"321","6906885936366259457",57,1000000,1432,141200
"322","6901655785407909121",1017,540800,1179,112600
"323","6899086619228376321",17,102800,23,1466
"324","6896614154682125570",799,369700,293,84500
"325","6904657340679654661",40,45400,59,5046
"326","6885161134748404998",12,105700,36,3329
"327","6899843622355750145",138,128200,180,21400
"328","6875394675985992966",10,196400,81,5858
"329","6899727630472383746",0,7037,23,507
"330","6888453982440770821",354,61200,240,7042
"331","6886917791429954817",605,49300,132,10500
"332","6885674156655021314",1,1418,5,124
"333","6891793639643647238",234,52100,88,5688
"334","6907213826681261314",1666,748900,183,74700
"335","6898350532415540482",206,236000,100,5483
"336","6897534534636604674",5,51900,0,247
"337","6888353150521134338",18,87900,78,1795
"338","6877182502390353153",257,419500,416,44200
"339","6899510560556158209",18,28300,71,3564
"340","6897940245858258177",6,80600,35,1176
"341","6904344469747911942",23,82300,131,12400
"342","6880983457019809026",302,6600000,577,114100
"343","6887890425844141313",29,120600,201,4449
"344","6875453919879908614",2960,495800,331,23400
"345","6896488817528753409",5,49400,28,1933
"346","6902015702576762113",38,40200,52,4710
"347","6894047232274812165",131,75900,230,20900
"348","6876860979787959554",15000,865000,315,36500
"349","6895338661622123777",41,92000,37,3697
"350","6885766692627107077",31600,44600000,32000,5200000
"351","6889428056704961793",0,45300,33,802
"352","6896522195581897989",21000,6200000,2009,488200
"353","6905816780938235138",142,297500,980,12700
"354","6898757137154051330",45,40500,143,1657
"355","6899845326161595649",80,69400,265,4775
"356","6906969301446593793",1013,607700,394,179100
"357","6903585019017645314",425,81000,30,5606
"358","6907635850985704709",120,123500,228,6217
"359","6908110392422092033",711,346900,73,21600
"360","6876787355181665537",240,558900,87,20600
"361","6902420063882628357",48200,3500000,10700,692300
"362","6893676462788840709",354,137200,568,8082
"363","6882870430625975557",23,197700,217,25800
"364","6900344945777872133",45,65200,14,988
"365","6888010128486845698",4,13700,0,1236
"366","6905763253192789253",42,396700,36,2243
"367","6888373722546294022",294,151900,428,24200
"368","6901122865928670466",168,346600,183,34300
"369","6897348095844027649",3746,888300,813,109700
"370","6898706823541542146",18,51500,131,4625
"371","6884749597864987905",697,143000,444,30500
"372","6888423046529518853",305,56800,706,3810
"373","6888031153173892353",3712,1100000,3767,330000
"374","6906136469144964357",88,183900,515,7657
"375","6876262384093236485",389,86100,17,4271
"376","6877458289978821889",29200,7400000,7523,607600
"377","6904739327385799942",388,52300,155,5057
"378","6906559972839034117",100,57000,151,9902
"379","6883532351960288518",38,74400,29,4911
"380","6907464609116982529",194,439700,984,25200
"381","6904294597862755585",9,358500,22,4075
"382","6896976403208604934",99,306300,77,14400
"383","6897916296025885954",341,263400,200,22400
"384","6906139639753559298",250,95400,73,2883
"385","6892654388314164482",3,41600,65,3903
"386","6905763366166367489",35,146000,215,7748
"387","6906776161221758210",1175,1000000,415,113500
"388","6884902907439779074",167,122000,191,11100
"389","6898598426590678273",9,52400,13,3376
"390","6887590237191572738",473,423900,790,41200
"391","6896520019082005761",57,27400,102,6013
"392","6906822328580181250",37,50600,98,4436
"393","6886119631011007745",747,295700,772,73300
"394","6879933206460648706",173,66900,532,10300
"395","6908295874653342978",973,261000,569,25200
"396","6908179105494174982",1133,55300,640,24700
"397","6892150387453725953",454,199900,231,24500
"398","6899497158769200385",25,35200,218,1051
"399","6904496575930731778",16,154100,318,16100
"400","6897593866283650306",49,215500,195,22400
"401","6893496095779933442",5724,1100000,1472,90600
"402","6887618500307864833",115,126000,226,33000
"403","6888741138941955330",115,47400,216,2137
"404","6889092649895087362",120,83100,58,13200
"405","6901832410091064582",180,80500,52,9048
"406","6905034791188434177",719,81000,147,6447
"407","6877816601308073218",43,251700,66,17400
"408","6878231837710372098",3,29200,14,3450
"409","6899978363759267073",23,86900,66,6289
"410","6907101598074391810",20,41700,209,4778
"411","6906244949176569093",10,82200,269,5415
"412","6884703655182880002",1179,339100,1179,71800
"413","6907108578482457861",763,60700,689,15000
"414","6878457763668823298",9,28600,46,1415
"415","6876674985746795778",43,26100,23,2485
"416","6875872124968439046",13,66100,71,3932
"417","6901420903322635525",26,65500,721,5804
"418","6904429617021570306",111,75100,159,14000
"419","6889856262431837441",178,19300,138,6643
"420","6878254482698816770",7,22200,4,1055
"421","6897013361804938497",2086,1300000,329,102300
"422","6890954152281918721",833,140500,220,19900
"423","6885248860281654529",5,65200,20,5186
"424","6890352437425638658",190,71000,110,13100
"425","6904653648349957377",1,10600,1,250
"426","6877726677334510849",131,51200,122,3504
"427","6903134814715661570",447,139500,370,11200
"428","6906757897628192005",4682,4200000,1225,360100
"429","6875651291343883522",619,2600000,734,104300
"430","6900197975818095873",75,52700,226,6270
"431","6880196605513927938",26000,25100000,12000,2500000
"432","6880122437594270978",1634,1200000,1243,102500
"433","6906048081628859650",11,31900,4,712
"434","6897549344015371521",7,9282,25,1222
"435","6892133738705177857",11,50500,46,1689
"436","6882317577692138754",55,24000,103,3380
"437","6898628429298568450",217,67800,39,2488
"438","6902451462962547969",39,27700,329,678
"439","6905109455466220805",89,76500,838,6063
"440","6891275439826930946",352,493900,3735,62200
"441","6886066384246443265",9,50500,8,810
"442","6890329452253908230",9077,3500000,713,116400
"443","6893087415263644930",52,35800,438,6103
"444","6905053286374706433",43,64800,101,2079
"445","6903954146630569217",44,107600,61,5047
"446","6880592183720676614",13,54900,100,8146
"447","6903908757386841346",13,32000,26,3725
"448","6875378565614013697",125,179000,111,6127
"449","6885153736222706949",59,148300,145,11100
